000418,方正控股,软件开发
001751,景联集团,楼宇建造
008112,基石金融,广告及宣传
000660,玮俊生物科技,特殊化工用品
000919,现代健康科技,医疗及医学美容服务
002135,瑞丽医美,医疗及医学美容服务
008413,亚洲杂货,包装食品
001549,永丰集团控股,航运及港口
008017,捷利交易宝,系统开发及资讯科技顾问
002381,蚬壳电业,家庭电器
008300,皇玺餐饮集团,餐饮
000776,帝国集团环球控股,家具
008153,法诺集团,广播
000301,三和精化,特殊化工用品
000619,南华金融,证券及经纪
008031,易通讯集团,其他支援服务
008011,百田石油,气油生产商
001798,大唐新能源,非传统/可再生能源
001612,永胜医疗,医疗保健设备
008493,龙皇集团,餐饮
008091,奥传思维控股,广告及宣传
002320,合丰集团,纸及纸制品
000764,永恒策略,-
001499,欧科云链,楼宇建造
000455,天大药业,药品
008260,银合控股,其他支援服务
008308,古兜控股,酒店及度假村
008201,宝联控股,其他支援服务
001022,飞鱼科技,软件开发
001099,国药控股,药品
000021,大中华地产控股,地产发展商
001189,大湾区聚变力量,酒店及度假村
006893,衍生集团,药品
000181,闽港控股,酒店及度假村
000558,力劲科技,工业零件及器材
001647,雄岸科技,楼宇建造
001696,复锐医疗科技,医疗保健设备
001557,剑虹集团控股,重型基建
008193,亚太金融投资,其他金融
002196,复星医药,药品
000031,航天控股,航空航天与国防
003689,康华医疗,医疗及医学美容服务
000703,佳景集团,餐饮
001543,中盈盛达融资担保,-
008063,环球大通集团-新,旅游及观光
008149,浩德控股,其他金融
008427,瑞强集团,建筑材料
001000,北青传媒,出版
008356,中国新华电视,重型基建
008280,中国数字视频,广播
001166,星凯控股,工业零件及器材
003699,光大永年,地产投资
006830,华众车载,汽车零件
000807,上海实业环境,水务
000204,中国投资开发,投资及资产管理
001545,设计都会,家居装修零售商
001681,康臣药业,药品
000901,金石投资集团,投资及资产管理
001265,天津津燃公用,燃气供应
002878,晶门半导体,半导体
000084,宝光实业,其他零售商
008627,旅橙文化,广告及宣传
001417,浦江中国,物业服务及管理
001167,加科思-B,生物技术
008526,荣丰集团亚洲,楼宇建造
008392,舍图控股,家具
000867,康哲药业,药品
000471,中播控股,卫星及无线通讯
008430,春能控股,航空货运及物流
001865,管道工程,重型基建
006161,泰加保险,保险
002178,百勤油服,气油设备与服务
002048,易居企业控股,地产代理
001643,现代中药集团,中医药
002607,上海医药,药品
000521,CWT INT’L,-
001401,SPROCOMM INTEL,电子零件
002768,佳源国际控股,地产发展商
001795,亚东集团,纺织品及布料
001258,中国有色矿业,铜
001793,伟工控股,楼宇建造
000157,自然美,其他零售商
001611,火币科技(五百),工业零件及器材
008028,天时软件,-
001707,致浩达控股,重型基建
002343,太平洋航运,航运及港口
002326,新源万恒控股,-
001152,正乾金融控股,包装食品
003709,赢家时尚,服装
000276,蒙古能源,煤炭
000312,岁宝百货,多元化零售商
000124,粤海置地,地产发展商
001072,东方电气,环保工程
000553,南京熊猫电子股份,系统开发及资讯科技顾问
008487,ISP GLOBAL,电讯设备
001058,粤海制革,其他服饰配件
002383,TOM集团,出版
008167,中国新电信,电讯设备
001817,慕尚集团控股,服装零售商
000439,光启科学,电子零件
000803,昌兴国际,钢铁
001383,太阳城集团,旅游及观光
001591,汛和集团,楼宇建造
001752,澳洲成峰高教,教育
000085,中电华大科技,半导体
003778,中国织材控股,纺织品及布料
002083,大自然家居,家具
000526,中国汽车新零售,汽车零售商
008005,裕兴科技,消费电子产品
003898,中车时代电气,商业用车及货车
001127,狮子山集团,印刷及包装
001447,新福港,楼宇建造
000621,坛金矿业,黄金及贵金属
001468,京基金融国际,综合企业
000777,网龙,软件开发
000923,综合环保集团,纸及纸制品
006888,英达公路再生科技,重型基建
000302,中手游,软件开发
002400,心动公司,软件开发
008018,汇财金融投资,软件开发
008291,万成金属包装,印刷及包装
003877,中国船舶租赁,-
008216,丰城控股,重型基建
006999,领地控股,地产发展商
000092,冠军科技集团,气油生产商
001283,高陞集团控股,楼宇建造
001789,爱康医疗,医疗保健设备
003344,共享集团,服装
000852,海峡石油化工,气油生产商
008020,宏海控股集团,航运及港口
001345,中国先锋医药,药品
002283,东江集团控股,工业零件及器材
001124,沿海家园,地产投资
001034,富汇国际集团控股,重型基建
001919,中远海控,航运及港口
008052,陆庆娱乐,消闲及文娱设施
000444,先施表行,其他零售商
000722,联合医务,医疗及医学美容服务
007500,南方两倍看空恒指,-
006826,昊海生物科技,生物技术
001455,科利实业控股,家庭电器
000529,新龙国际,电讯设备
000585,意马国际,证券及经纪
002552,华领医药-B,生物技术
001857,中国光大水务,水务
001680,澳门励骏,赌场及博彩
001066,威高股份,医疗保健设备
008078,中国创意数码,影视娱乐
002019,德信中国,地产发展商
000160,汉国置业,地产投资
002158,医渡科技,医疗及医学美容服务
001199,中远海运港口,航运及港口
001366,江南集团,工业零件及器材
002289,创美药业,药品
000799,IGG,软件开发
000695,东吴水泥,建筑材料
001790,达力环保,水务
001921,达力普控股,气油设备与服务
002680,创陞控股,其他金融
001338,霸王集团,个人护理
001908,建发国际集团,地产发展商
000098,兴发铝业,铝
008319,思博系统,系统开发及资讯科技顾问
002195,盈汇企业控股,楼宇建造
000874,白云山,中医药
001045,亚太卫星,卫星及无线通讯
001672,歌礼制药-B,生物技术
000272,瑞安房地产,地产发展商
001676,中国升海集团,包装食品
002101,福禄控股,电子商贸及互联网服务
001202,成都普天电缆股份,电讯设备
009909,宝龙商业,物业服务及管理
009959,联易融科技-W,系统开发及资讯科技顾问
001195,京维集团,地产发展商
000080,中国新经济投资,投资及资产管理
008375,弘浩国际控股,工业零件及器材
001710,致丰工业电子,工业零件及器材
007552,南方两倍做空恒生科技,-
001082,香港教育国际,教育
001931,华检医疗,医疗保健设备
007588,FI二南方国指,-
001609,创建集团控股,楼宇建造
001068,雨润食品,禽畜肉类
009933,GHW INTL,特殊化工用品
009990,祖龙娱乐,软件开发
008231,节能元件,半导体
001639,安捷利实业,工业零件及器材
001720,普天通信集团,电讯设备
008096,赏之味,餐饮
006668,星盛商业,物业服务及管理
001381,粤丰环保,非传统/可再生能源
008137,洪桥集团,新能源物料
000756,森美控股,非酒精饮料
006998,嘉和生物-B,生物技术
001173,威高国际,个人护理
008328,信义储电,汽车零件
000274,中富资源,黄金及贵金属
000034,九龙建业,地产发展商
000347,鞍钢股份,钢铁
000517,中远海运国际,采购及供应链管理
001277,力量能源,煤炭
001400,满地科技股份,纺织品及布料
008462,中安控股集团,其他支援服务
002798,久泰邦达能源,煤炭
001661,智美体育,消闲及文娱设施
001349,复旦张江,生物技术
008527,聚利宝控股,餐饮
000154,北京控股环境集团,环保工程
000185,正商实业,地产发展商
001121,宝峰时尚,鞋类
001902,银城国际控股,地产发展商
001606,国银租赁,-
000680,南海控股,地产发展商
000332,元亨燃气,气油生产商
000592,堡狮龙,服装
008041,荟萃国际(控股),电子商贸及互联网服务
001175,鲜驰达控股,包装食品
000055,中星集团控股,印刷及包装
008059,朝威控股,重型基建
008496,新加坡美食控股,包装食品
001357,美图公司,电子商贸及互联网服务
006166,中国宏泰发展,地产发展商
000436,新宇环保,环保工程
008156,国药科技股份,赌场及博彩
000328,爱高集团,消费电子产品
001094,中国公共采购,电子商贸及互联网服务
002078,荣阳实业,铝
000434,博雅互动,软件开发
001905,海通恒信,-
000343,文化传信,出版
000889,连达科技控股,工业零件及器材
001461,鲁证期货,证券及经纪
003886,康健国际医疗,医疗及医学美容服务
001598,21世纪教育,教育
008609,永续农业,农产品
001877,君实生物,生物技术
001388,安莉芳控股,服装
001253,中国绿地博大绿泽,楼宇建造
001027,中国集成控股,家具
003718,北控城市资源,环保工程
003300,中国玻璃,工业零件及器材
001960,TBKS HLDGS,重型基建
001855,中邦环境,楼宇建造
000547,数字王国,影视娱乐
007336,未来一倍看空恒指,-
006933,新娱科控股,软件开发
007300,南方一倍看空恒指,-
001763,中国同辐,药品
002127,汇森家居,家具
